,domain,bias_rating,category,mbfc_ideo,ave_m,ave_m_log10,donation,donation_adj,len_of_content,content,link,cleaned_rating,side,sep_side
86,smh.com.au,left-center,leftcenter,-1.0,29896666.0,7.475622774137410,1,0,2,donate now,https://googleads.g.doubleclick.net/dbm/clk?sa=L&ai=CiSkYEugEZsGfDOvCo9kP8b-R8AGX66PUdsrzq6zBErrp6czXQRABIL3buWBgyb6riZCk6A-gAZjg_usCyAEGqAMByAMKqgSzAk_QAMZeFO3pC9gmu8BmsA-V-TU7KMf8-RG8GQtcVhKFePet35MBwjH1LqXStdQ88tZzXdCKcXgo-HAaTax3pcUa3DEh0HIUAbM14uJKswD7Okvtf3tgadwVSX_BT6ymRnu-KydyTd6eV96Rs72Py5BIUvu_qj4Q32rAvf8dNl1_Gl-p9GiE-t2HDXBCtA-wlsYgke1W2VZLYK3sWI-kyC50yCExBWUerYNg2yq2dABweGQTKmfN5-sLsEtHbvzPg48Mzu2JeTNdGQuEYnk3T3WfkybAnnucnXlhtMoooytJyFTM1r9yDhXz2AzknIB6QpMLu8rFLNy2ZmuXL1GrAYFmZC_Go3d8Q6NTEXFCsLP6Ru7Z9YsOf4yQtTTBjtp6tZLVXkgZiDlBLYVXifhAuGMvdbzABMDeuOKRBOAEA4gFpNGE4UKQBgGgBjeAB9CfgZQBqAfZtrECqAevvrECqAfVyRuoB6a-G6gHjs4bqAeT2BuoB-6WsQKoB_6esQKoB_PRG6gHltgbqAeqm7ECqAeDrbECqAfgvbECqAf_nrECqAffn7EC2AcB0ggkCIBhEAEYHTICigI6CYBAgMCAgICgKEi9_cE6WPrY_PCFloUDsQmu5UCmCnCW1oAKA5gLAcgLAaoNAlVT4g0TCL-X_fCFloUDFWvhKAUd8V8EHrAT472jF9gTCtgUAdAVAfgWAYAXAegXBLIYBRg3IgEA&num=1&cid=CAQSOwB7FLtqE942qUsOvza4_cwF68QRpwjZBOJwcosdwk1KyU3SU-oEvbp6IxQRTQYHg6AvhjGn6t-CeWR1GAE&sig=AOD64_0hVih7bfWLFtMMjOKv345f1DMZ3w&client=ca-pub-8027655917349410&dbm_c=AKAmf-B0-AWxk2OUr9pBjEp9D9iJBch0ibGJdGkrPgA4UqJLHfxYSRg6j3-mtxx3s2BlufRG3Gm6-bmJXmV_QoqBq4qZ9w5UaYXOOlGaSR1sl38gDFQEPzGJzoVYaJ1hqtrcEkkmmPRFNu5SBZna6NCzQmLBUZooougi6mzi8T-ndSf2m3Lyov-t_K02961GLBOGmNhT07NppYuwK1qId4UjqwGCr_q-sQ&dbm_d=AKAmf-AiliLa2XCJUIzqUsPgu0mvNt0luJ66JT1PFA0YF6QDbTjfzkkaqT_DOKQoPS1FWoOn1dIgWIruvsIqrYgRVjazOaXR0qR2Ii_hgR0ukgD5lZB3ZLBuoh8yJNN28tVbhRbw19in7BMEmNNvJ73qdPKD_ASxfF5kzE875rwgLyJj3roh_p9pyo11t0F1jKTBuPf1dJ4mHmqopb48b4s7ZUt59Ee9rKTYCZH0rSLJufduLQVAhYOmNljSt4ThnwyYXc1R6Qckdk9-iBWtDN6Br-H3JzR16uFUAhxAqwZ-PiPr58TkoVoZvcO2-B1qO62szVb72q1dCWw69tSkV5CGhE-qGzUEQzMGvx4IzaS4Tj8SitEZ-BkMAE8ymt9S7M1aKKOrR2Wt&dc_exteid=31573402636648115316921914093624032&dc_pubid=4&nx=CLICK_X&ny=CLICK_Y&uap=UACH(platform)&uapv=UACH(platformVersion)&uaa=UACH(architecture)&uam=UACH(model)&uafv=UACH(uaFullVersion)&uab=UACH(bitness)&uaw=UACH(wow64)&uafvl=UACH(fullVersionList)&nb=8&adurl=https://www.unicefusa.org/what-unicef-does/emergency-response/climate-change?form=FUNGPSJHJJL&utm_campaign=20230427_Brand&utm_medium=Display&utm_source=alldsp&utm_term=HelpNow&ms=Display_DIG_2023_Brand_20230427_alldsp_HelpNow_delve_none&initialms=Display_DIG_2023_Brand_20230427_alldsp_HelpNow_delve_none,left center,left,left center
87,malaysiakini.com,left-center,leftcenter,-1.0,29070000.0,7.463445031770430,1,1,1,donate,https://static01.malaysiakini.com/donation/en/?amount=50&campaign=mkini-en-home&redirectUrl=https://www.malaysiakini.com/en,left center,left,left center
88,dw.com,left-center,leftcenter,-1.0,28643333.0,7.457023567180910,0,0,1,unknown,unknown,left center,left,left center
89,dailystar.co.uk,right-center,fake-news,1.0,28210000.0,7.45040310155042,0,0,1,unknown,unknown,right center,right,right center
90,thetimes.co.uk,right-center,right-center,1.0,28150000.0,7.449478399187370,0,0,1,unknown,unknown,right center,right,right center
91,time.com,left-center,leftcenter,-1.0,28106666.0,7.44880934829936,0,0,1,unknown,unknown,left center,left,left center
92,kotaku.com,left-center,leftcenter,-1.0,27726666.0,7.442897666530390,0,0,1,unknown,unknown,left center,left,left center
93,nzherald.co.nz,least biased,center,0.0,27216666.0,7.434834939672000,0,0,1,unknown,unknown,unknown,unknown,unknown
94,today.com,left-center,leftcenter,-1.0,26899492.0,7.429744094523700,0,0,1,unknown,unknown,left center,left,left center
95,statista.com,least biased,center,0.0,26860000.0,7.429106008332700,0,0,1,unknown,unknown,unknown,unknown,unknown
