domain	bias_rating	category	mbfc_ideo	ave_m	ave_m_log10
nbcdfw.com	left-center	leftcenter	-1.0	4832292.0	6.684153259310374
11alive.com	least biased	center	0.0	4791287.0	6.680452276692331
deccanchronicle.com	right-center	right-center	1.0	4783333.0	6.679730706879192
weforum.org	left-center	leftcenter	-1.0	4776666.0	6.679124965984344
channel3000.com	least biased	center	0.0	4757985.0	6.677423159825734
wtop.com	least biased	center	0.0	4740000.0	6.675778341674085
haaretz.com	left	left	-1.0	4706666.0	6.672713472753521
hotair.com	right	right	1.0	4700000.0	6.672097857935717
abc15.com	least biased	center	0.0	4665191.0	6.66886952221427
wlwt.com	least biased	center	0.0	4568730.0	6.659795588203481
woodtv.com	least biased	center	0.0	4560762.0	6.659037504719236
americanthinker.com	extreme right	fake-news	1.0	4560000.0	6.658964937904442
castanet.net	least biased	center	0.0	4550000.0	6.658011492106438
palmerreport.com	left	left	-1.0	4536666.0	6.656736902393626
pennlive.com	left-center	leftcenter	-1.0	4533333.0	6.656417717517386
fox59.com	least biased	center	0.0	4529369.0	6.656037799242211
winknews.com	least biased	center	0.0	4528435.0	6.6559482342752565
wtae.com	least biased	center	0.0	4514375.0	6.6545977284069275
deccanherald.com	left-center	leftcenter	-1.0	4513333.0	6.654497473779308
rfa.org		leftcenter	-1.0	4486666.0	6.651923837433857
tampabay.com	left-center	leftcenter	-1.0	4466666.0	6.64998357605518
japantimes.co.jp	least biased	center	0.0	4440000.0	6.647383067928681
katu.com	right-center	right-center	1.0	4426755.0	6.6460855846004945
newsday.com	left-center	leftcenter	-1.0	4420000.0	6.645422367605751
masslive.com	least biased	center	0.0	4387170.0	6.6421845623532185
irishexaminer.com	left-center	leftcenter	-1.0	4377579.0	6.64123409153243
newser.com	left-center	leftcenter	-1.0	4373333.0	6.640812646523401
tribuneindia.com	right-center	right-center	1.0	4370000.0	6.640481436970422
kcra.com	least biased	center	0.0	4364404.0	6.639925044644076
myfox8.com	least biased	center	0.0	4350239.0	6.63851321736853
jsonline.com	left-center	leftcenter	-1.0	4336666.0	6.637156075223512
fox10phoenix.com	least biased	center	0.0	4335462.0	6.637035484190036
wthr.com	least biased	center	0.0	4314967.0	6.634977579315434
thefederalist.com	right	fake-news	1.0	4263333.0	6.629749357670555
couriermail.com.au	right-center	right-center	1.0	4220000.0	6.625312553875046
bleepingcomputer.com	least biased	center	0.0	4179999.999999999	6.6211762817750355
adelaidenow.com.au	right	right	1.0	4163333.0	6.619441253197219
thewire.in	left-center	leftcenter	-1.0	4136666.0	6.616650561774592
www1.cbn.com	right	conspiracy	1.0	4110000.0	6.613841927543813
wgntv.com	least biased	center	0.0	4090000.0	6.611723414191799
wesh.com	least biased	center	0.0	4071321.0	6.609735451996928
worldpopulationreview.com	least biased	center	0.0	4059999.999999999	6.608526033577194
charlotteobserver.com	left-center	leftcenter	-1.0	4053333.0	6.6078123916470615
ktvu.com	least biased	center	0.0	4035365.0	6.605882930525709
thedodo.com	left	left	-1.0	4030000.000000001	6.605305046141109
house.gov	least biased	center	0.0	4010000.0	6.603144480923032
wfmz.com	least biased	center	0.0	3983238.0	6.600236365477153
kare11.com	least biased	center	0.0	3962785.0	6.598000620018129
teenvogue.com	left	left	-1.0	3960000.0	6.597695185925512
godlikeproductions.com	right conspiracy-pseudoscience	conspiracy	1.0	3946666.0	6.596230484347514
theadvocate.com	left-center	leftcenter	-1.0	3939458.0	6.595436584910126
wbaltv.com	least biased	center	0.0	3928322.0	6.59420718974385
kansascity.com	left-center	leftcenter	-1.0	3913333.0	6.592546916177358
whio.com	least biased	center	0.0	3840604.0	6.584399642978329
wgal.com	least biased	center	0.0	3820403.0	6.582109291103687
sacbee.com	left-center	leftcenter	-1.0	3806666.0	6.580544887219454
comicsands.com	left	left	-1.0	3800000.0	6.57978359661681
post-gazette.com	right-center	right-center	1.0	3783333.0	6.577874683337134
fox6now.com	least biased	center	0.0	3760000.0	6.575187960431498
foreignpolicy.com	least biased	center	0.0	3750000.0	6.574031383539565
reason.com	right-center	right-center	1.0	3736666.0	6.5724843966170114
kvue.com	least biased	center	0.0	3686991.0	6.566672195279123
alternet.org	left	left	-1.0	3673333.0	6.565060418615422
ktvb.com	least biased	center	0.0	3661264.0	6.5636311639737475
dailymaverick.co.za	least biased	center	0.0	3630000.0	6.559906625036112
beliefnet.com	right	right	1.0	3620000.0	6.558708690504001
spectator.co.uk	right-center	right-center	1.0	3620000.0	6.558708570533166
freerepublic.com	right	right	1.0	3603333.0	6.556704519584146
wmur.com	least biased	center	0.0	3584677.0	6.554450150490904
ksdk.com	least biased	center	0.0	3582364.0	6.554169833162958
gothamist.com	left-center	leftcenter	-1.0	3576666.666666666	6.553478588670638
lifesitenews.com	right	fake-news	1.0	3576666.0	6.553478507721075
order-order.com	right	right	1.0	3563333.0	6.551856531741583
thewest.com.au	right-center	right-center	1.0	3563333.0	6.551856531741583
politifact.com	left-center	leftcenter	-1.0	3556666.0	6.551043205407193
arcamax.com	right-center	right-center	1.0	3552165.0	6.550493253052354
theconservativetreehouse.com	extreme right	fake-news	1.0	3530000.0	6.5477748284174035
wnd.com	extreme right	fake-news	1.0	3526666.0	6.547364454028131
redstate.com	right	right	1.0	3510000.0	6.545307240196428
democraticunderground.com	left	left	-1.0	3493333.0	6.5432401108086635
king5.com	least biased	center	0.0	3486666.666666666	6.542410554370222
ocregister.com	right-center	right-center	1.0	3456666.0	6.538657543549268
mnn.com		leftcenter	-1.0	3450000.0	6.537819220955714
swarajyamag.com	right	fake-news	1.0	3443333.0	6.53697915088407
fox2now.com	least biased	center	0.0	3410000.0	6.532754506351565
bigthink.com	least biased	center	0.0	3406666.0	6.532329683573597
republicworld.com	right-center	right-center	1.0	3396666.0	6.531052971906436
staradvertiser.com	left-center	leftcenter	-1.0	3390000.0	6.53019982631353
babylonbee.com	right-satire	satire	1.0	3346666.0	6.524612501345758
kmbc.com	least biased	center	0.0	3341491.0	6.523940425699121
montrealgazette.com	right-center	right-center	1.0	3311333.0	6.5200029883755075
omaha.com	right-center	right-center	1.0	3291666.0	6.517415893558021
